Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.3297448,10.0.2.15,54252,10.0.2.4,80,tcp,http,13.646000,133,493,SF,7,5,0,57,57,82,0,82,82,82,64,64,1,311,1,68,152,4302.0,5973,2070202597,460111522
1591893374.330352,10.0.2.15,54254,10.0.2.4,80,tcp,http,13.653198,132,493,SF,7,5,0,58,58,83,0,83,83,83,64,64,1,311,1,68,152,4302.0,5973,776434742,243655770
1591893374.33077,10.0.2.15,54256,10.0.2.4,80,tcp,http,13.645484,133,493,SF,8,6,0,59,59,84,0,84,84,84,64,64,1,311,1,65,135,3764.0,5015,1954585297,368189972
1591893374.331298,10.0.2.15,54258,10.0.2.4,80,tcp,http,13.644960,133,493,SF,8,6,0,60,60,85,0,85,85,85,64,64,1,311,1,65,135,3764.0,5015,4232934595,205941935
1591893374.3317199,10.0.2.15,54260,10.0.2.4,80,tcp,http,13.651682,133,493,SF,7,5,0,61,61,86,0,86,86,86,64,64,1,311,1,68,152,4302.0,5973,2909636150,2061253772
1591893374.332126,10.0.2.15,54262,10.0.2.4,80,tcp,http,13.644127,132,493,SF,8,6,0,62,62,87,0,87,87,87,64,64,1,311,1,65,135,3764.0,5015,419214490,1918990131
1591893374.333058,10.0.2.15,54264,10.0.2.4,80,tcp,http,13.643052,132,493,SF,8,6,0,63,63,88,0,88,88,88,64,64,1,311,1,65,135,3764.0,5015,458831525,4289299065
1591893374.333574,10.0.2.15,54266,10.0.2.4,80,tcp,http,13.649568,133,493,SF,7,5,0,64,64,89,0,89,89,89,64,64,1,311,1,68,152,4302.0,5973,931167640,2581878488
1591893374.3340259,10.0.2.15,54268,10.0.2.4,80,tcp,http,13.642233,133,493,SF,8,6,0,65,65,90,0,90,90,90,64,64,1,311,1,65,135,3764.0,5015,158748891,884770056
1591893374.3346,10.0.2.15,54270,10.0.2.4,80,tcp,http,13.648313,133,493,SF,7,5,0,66,66,91,0,91,91,91,64,64,1,311,1,68,152,4302.0,5973,4013225568,3848924862
1591893374.335223,10.0.2.15,54272,10.0.2.4,80,tcp,http,13.641121,132,493,SF,8,6,0,67,67,92,0,92,92,92,64,64,1,311,1,65,135,3764.0,5015,2986281542,4294432175
1591893374.335689,10.0.2.15,54274,10.0.2.4,80,tcp,http,13.640630,132,493,SF,8,6,0,68,68,93,0,93,93,93,64,64,1,311,1,65,135,3764.0,5015,812146473,1922580698
1591893374.336165,10.0.2.15,54276,10.0.2.4,80,tcp,http,13.651465,132,493,SF,7,5,0,69,69,94,0,94,94,94,64,64,1,311,1,68,152,4302.0,5973,1136397231,2692654588
1591893374.336513,10.0.2.15,54278,10.0.2.4,80,tcp,http,13.639810,133,493,SF,8,6,0,70,70,95,0,95,95,95,64,64,1,311,1,65,135,3764.0,5015,2458376809,2710841620
